Name,Trial #,Gray Level (0-255),Reaction (ms)
Tejas 4,16,192,268
Tejas 4,17,96,490
Tejas 4,18,128,356
Tejas 4,19,64,302
Tejas 4,20,255,311
Tejas 4,21,224,302
Tejas 4,22,255,269
Tejas 4,23,160,265
Tejas 4,24,64,276
Tejas 4,25,64,272
Tejas 4,26,64,292
Tejas 4,27,128,234
Tejas 4,28,192,274
Tejas 4,29,255,278
Tejas 4,30,96,279
Tejas 4,31,224,250
Tejas 4,32,96,452
Tejas 4,33,255,276
Tejas 4,34,32,362
Tejas 4,35,160,280
Tejas 4,36,128,577
Tejas 4,37,128,306
Tejas 4,38,160,267
Tejas 4,39,32,279
Tejas 4,40,64,267
Tejas 5,1,224,506
Tejas 5,2,128,301
Tejas 5,3,255,287
Tejas 5,4,128,279
Tejas 5,5,160,579
Tejas 5,6,224,293
Tejas 5,7,32,355
Tejas 5,8,192,309
Tejas 5,9,64,368
Tejas 5,10,192,330
Tejas 5,11,64,308
Tejas 5,12,64,294
Tejas 5,13,32,284
Tejas 5,14,32,288
Tejas 5,15,224,300
Tejas 5,16,255,325
Tejas 5,17,160,303
Tejas 5,18,192,346
Tejas 5,19,160,436
Tejas 5,20,96,398
Tejas 5,21,96,313
Tejas 5,22,96,360
Tejas 5,23,32,455
Tejas 5,24,255,410
Tejas 5,25,128,391
Tejas 5,26,160,348
Tejas 5,27,192,349
Tejas 5,28,255,326
Tejas 5,29,64,562
Tejas 5,30,224,306
Tejas 5,31,32,345
Tejas 5,32,224,378
Tejas 5,33,255,287
Tejas 5,34,128,321
Tejas 5,35,192,313
Tejas 5,36,160,369
Tejas 5,37,96,309
Tejas 5,38,96,298
Tejas 5,39,128,342
Tejas 5,40,64,281
Tejas 6,1,32,278
Tejas 6,2,64,416
Tejas 6,3,128,258
Tejas 6,4,96,247
Tejas 6,5,192,268
Tejas 6,6,224,264
Tejas 6,7,160,431
Tejas 6,8,96,450
Tejas 6,9,255,279
Tejas 6,10,32,269
Tejas 6,11,224,267
Tejas 6,12,96,424
Tejas 6,13,64,388
Tejas 6,14,128,383
Tejas 6,15,32,357
Tejas 6,16,128,274
Tejas 6,17,160,301
Tejas 6,18,128,280
Tejas 6,19,255,260
Tejas 6,20,192,278
Tejas 6,21,160,259
Tejas 6,22,224,256
Tejas 6,23,160,289
Tejas 6,24,255,232
Tejas 6,25,224,221
Tejas 6,26,255,226
Tejas 6,27,192,213
Tejas 6,28,96,289
Tejas 6,29,32,323
Tejas 6,30,128,249
Tejas 6,31,64,344
Tejas 6,32,96,275
Tejas 6,33,160,227
Tejas 6,34,64,268
Tejas 6,35,64,265
Tejas 6,36,224,253
Tejas 6,37,192,294
Tejas 6,38,32,270
Tejas 6,39,255,261
Tejas 6,40,192,235
Tejas 7,1,64,321
Tejas 7,2,224,266
Tejas 7,3,128,407
Tejas 7,4,160,315
Tejas 7,5,96,363
Tejas 7,6,32,379
Tejas 7,7,96,280
Tejas 7,8,255,297
Tejas 7,9,224,371
Tejas 7,10,96,306
Tejas 7,11,192,279
Tejas 7,12,255,314
Tejas 7,13,224,466
Tejas 7,14,192,300
Tejas 7,15,64,320
Tejas 7,16,255,249
Tejas 7,17,128,301
Tejas 7,18,64,55
Tejas 7,19,32,354
Tejas 7,20,96,391
Tejas 7,21,192,299
Tejas 7,22,128,301
Tejas 7,23,32,336
Tejas 7,24,192,304
Tejas 7,25,32,793
Tejas 7,26,128,362
Tejas 7,27,128,405
Tejas 7,28,224,957
Tejas 7,29,96,299
Tejas 7,30,192,345
Tejas 7,31,160,450
Tejas 7,32,64,332
Tejas 7,33,255,324
Tejas 7,34,255,338
Tejas 7,35,32,493
Tejas 7,36,64,260
Tejas 7,37,160,352
Tejas 7,38,160,271
Tejas 7,39,224,299
Tejas 7,40,160,318
